created_at, provider, input_len, billed_prompt_len, billed_output_len, cached_tokens, duration (ms)
1760713655, meta, 10, 28, 2, 0, 339
1760713657, meta, 10, 28, 2, 0, 363
1760713658, meta, 100, 28, 2, 0, 331
1760713660, meta, 100, 28, 2, 0, 321
1760713660, meta, 1000, 889, 3, 0, 376
1760713663, meta, 1000, 889, 2, 0, 381
1760713663, meta, 3000, 2714, 3, 0, 480
1760713665, meta, 3000, 2714, 3, 0, 484
1760713666, meta, 10000, 9975, 8, 0, 1156
1760713669, meta, 10000, 9975, 8, 0, 581
1760713670, meta, 30000, 30796, 10, 0, 2326
1760713674, meta, 30000, 30796, 11, 0, 2382
1760713676, meta, 100000, 105902, 397, 0, 15496
1760713694, meta, 100000, 105902, 337, 0, 15146
1760713940, meta, 10, 28, 2, 0, 338
1760713943, meta, 10, 28, 2, 0, 349
1760713943, meta, 100, 28, 2, 0, 341
1760713945, meta, 100, 28, 2, 0, 348
1760713946, meta, 1000, 889, 3, 0, 376
1760713948, meta, 1000, 889, 3, 0, 354
1760713948, meta, 3000, 2714, 3, 0, 467
1760713951, meta, 3000, 2714, 3, 0, 512
1760713951, meta, 10000, 9975, 11, 0, 1007
1760713954, meta, 10000, 9975, 11, 0, 912
1760713955, meta, 30000, 30797, 13, 0, 2343
1760713960, meta, 30000, 30797, 11, 0, 2317
1760713962, meta, 100000, 0, 0, 0, 63058
1760714027, meta, 100000, 105901, 444, 0, 16543
1760714212, meta, 10, 28, 2, 0, 331
1760714215, meta, 10, 28, 2, 0, 374
1760714215, meta, 100, 28, 2, 0, 290
1760714217, meta, 100, 28, 2, 0, 377
1760714218, meta, 1000, 889, 2, 0, 359
1760714220, meta, 1000, 889, 2, 0, 364
1760714220, meta, 3000, 2714, 3, 0, 471
1760714223, meta, 3000, 2714, 3, 0, 450
1760714223, meta, 10000, 9975, 8, 0, 889
1760714226, meta, 10000, 9975, 11, 0, 642
1760714227, meta, 30000, 30796, 39, 0, 2549
1760714231, meta, 30000, 30796, 10, 0, 984
1760714232, meta, 100000, 105902, 13, 0, 9184
1760714244, meta, 100000, 105902, 9, 0, 9098
1760714425, meta, 10, 28, 2, 0, 340
1760714428, meta, 10, 28, 2, 0, 555
1760714428, meta, 100, 28, 2, 0, 290
1760714430, meta, 100, 28, 2, 0, 354
1760714431, meta, 1000, 889, 3, 0, 350
1760714433, meta, 1000, 889, 3, 0, 304
1760714434, meta, 3000, 2714, 2, 0, 472
1760714436, meta, 3000, 2714, 2, 0, 527
1760714437, meta, 10000, 9975, 11, 0, 959
1760714439, meta, 10000, 9975, 11, 0, 690
1760714440, meta, 30000, 30796, 216, 0, 5306
1760714447, meta, 30000, 30796, 11, 0, 2250
1760714450, meta, 100000, 105903, 427, 0, 15178
1760714467, meta, 100000, 105903, 8, 0, 9218
1760714650, meta, 10, 28, 2, 0, 420
1760714652, meta, 10, 28, 2, 0, 272
1760714653, meta, 100, 28, 2, 0, 304
1760714655, meta, 100, 28, 2, 0, 462
1760714655, meta, 1000, 889, 2, 0, 443
1760714658, meta, 1000, 889, 2, 0, 327
1760714658, meta, 3000, 2714, 3, 0, 478
1760714661, meta, 3000, 2714, 3, 0, 492
1760714661, meta, 10000, 9975, 11, 0, 994
1760714664, meta, 10000, 9975, 12, 0, 680
1760714665, meta, 30000, 30796, 222, 0, 5519
1760714672, meta, 30000, 30796, 12, 0, 995
1760714673, meta, 100000, 105901, 653, 0, 18581
1760714694, meta, 100000, 105901, 9, 0, 2310
1760714860, meta, 10, 28, 2, 0, 347
1760714863, meta, 10, 28, 2, 0, 365
1760714863, meta, 100, 28, 2, 0, 351
1760714865, meta, 100, 28, 2, 0, 426
1760714866, meta, 1000, 889, 3, 0, 369
1760714868, meta, 1000, 889, 3, 0, 367
1760714869, meta, 3000, 2714, 3, 0, 437
1760714871, meta, 3000, 2714, 3, 0, 460
1760714871, meta, 10000, 9975, 8, 0, 969
1760714874, meta, 10000, 9975, 8, 0, 902
1760714875, meta, 30000, 30796, 77, 0, 3181
1760714880, meta, 30000, 30796, 33, 0, 2699
1760714883, meta, 100000, 105903, 260, 0, 13409
1760714899, meta, 100000, 105903, 360, 0, 14874
1760715079, meta, 10, 28, 2, 0, 297
1760715081, meta, 10, 28, 2, 0, 344
1760715082, meta, 100, 28, 2, 0, 331
1760715084, meta, 100, 28, 2, 0, 359
1760715084, meta, 1000, 889, 3, 0, 377
1760715087, meta, 1000, 889, 3, 0, 396
1760715087, meta, 3000, 2714, 3, 0, 442
1760715089, meta, 3000, 2714, 3, 0, 458
1760715090, meta, 10000, 9975, 12, 0, 979
1760715093, meta, 10000, 9975, 11, 0, 989
1760715094, meta, 30000, 30796, 13, 0, 2354
1760715098, meta, 30000, 30796, 12, 0, 986
1760715099, meta, 100000, 105903, 20, 0, 9456
1760715111, meta, 100000, 105903, 9, 0, 9017
1760715282, meta, 10, 28, 2, 0, 345
1760715284, meta, 10, 28, 2, 0, 350
1760715284, meta, 100, 28, 2, 0, 337
1760715287, meta, 100, 28, 2, 0, 407
1760715287, meta, 1000, 889, 2, 0, 279
1760715289, meta, 1000, 889, 2, 0, 386
1760715290, meta, 3000, 2714, 3, 0, 516
1760715292, meta, 3000, 2714, 3, 0, 437
1760715293, meta, 10000, 9975, 10, 0, 958
1760715296, meta, 10000, 9975, 11, 0, 993
1760715297, meta, 30000, 30796, 10, 0, 2327
1760715301, meta, 30000, 30796, 59, 0, 1653
1760715303, meta, 100000, 105902, 523, 0, 17387
1760715322, meta, 100000, 105902, 398, 0, 15131
1760715501, meta, 10, 28, 2, 0, 354
1760715504, meta, 10, 28, 2, 0, 272
1760715504, meta, 100, 28, 2, 0, 353
1760715506, meta, 100, 28, 2, 0, 336
1760715507, meta, 1000, 889, 3, 0, 387
1760715509, meta, 1000, 889, 3, 0, 384
1760715509, meta, 3000, 2714, 3, 0, 448
1760715512, meta, 3000, 2714, 2, 0, 446
1760715512, meta, 10000, 9975, 11, 0, 1008
1760715515, meta, 10000, 9975, 11, 0, 969
1760715516, meta, 30000, 30796, 12, 0, 2297
1760715521, meta, 30000, 30796, 12, 0, 2302
1760715523, meta, 100000, 105902, 377, 0, 15450
1760715540, meta, 100000, 105902, 431, 0, 9227
1760715729, meta, 10, 28, 2, 0, 418
1760715732, meta, 10, 28, 2, 0, 294
1760715732, meta, 100, 28, 2, 0, 406
1760715734, meta, 100, 28, 2, 0, 418
1760715735, meta, 1000, 889, 3, 0, 375
1760715737, meta, 1000, 889, 3, 0, 378
1760715737, meta, 3000, 2714, 3, 0, 423
1760715740, meta, 3000, 2714, 3, 0, 460
1760715740, meta, 10000, 9975, 11, 0, 982
1760715743, meta, 10000, 9975, 11, 0, 990
1760715744, meta, 30000, 30796, 94, 0, 3556
1760715750, meta, 30000, 30796, 13, 0, 1004
1760715751, meta, 100000, 105901, 13, 0, 9363
1760715762, meta, 100000, 105901, 9, 0, 2065
1760715928, meta, 10, 28, 2, 0, 406
1760715930, meta, 10, 28, 2, 0, 357
1760715931, meta, 100, 28, 2, 0, 340
1760715933, meta, 100, 28, 2, 0, 271
1760715933, meta, 1000, 889, 3, 0, 282
1760715935, meta, 1000, 889, 2, 0, 277
1760715936, meta, 3000, 2714, 2, 0, 583
1760715938, meta, 3000, 2714, 3, 0, 474
1760715939, meta, 10000, 9975, 11, 0, 1011
1760715942, meta, 10000, 9975, 11, 0, 1004
1760715943, meta, 30000, 30796, 11, 0, 2381
1760715947, meta, 30000, 30796, 186, 0, 4764
1760715952, meta, 100000, 105902, 9, 0, 9116
1760715963, meta, 100000, 105902, 9, 0, 2174
1760716138, meta, 10, 28, 2, 0, 405
1760716140, meta, 10, 28, 2, 0, 434
1760716141, meta, 100, 28, 2, 0, 376
1760716143, meta, 100, 28, 2, 0, 338
1760716144, meta, 1000, 889, 2, 0, 302
1760716146, meta, 1000, 889, 2, 0, 359
1760716146, meta, 3000, 2714, 3, 0, 486
1760716149, meta, 3000, 2714, 3, 0, 486
1760716149, meta, 10000, 9975, 11, 0, 906
1760716152, meta, 10000, 9975, 11, 0, 628
1760716153, meta, 30000, 30796, 11, 0, 2390
1760716157, meta, 30000, 30796, 11, 0, 2321
1760716160, meta, 100000, 105901, 13, 0, 9403
1760716171, meta, 100000, 105901, 191, 0, 12108
1760716355, meta, 10, 28, 2, 0, 387
1760716357, meta, 10, 28, 2, 0, 349
1760716357, meta, 100, 28, 2, 0, 279
1760716360, meta, 100, 28, 2, 0, 420
1760716360, meta, 1000, 889, 3, 0, 403
1760716363, meta, 1000, 889, 3, 0, 280
1760716363, meta, 3000, 2714, 3, 0, 484
1760716365, meta, 3000, 2714, 3, 0, 475
1760716366, meta, 10000, 9975, 11, 0, 1003
1760716369, meta, 10000, 9975, 11, 0, 655
1760716369, meta, 30000, 30796, 11, 0, 2338
1760716374, meta, 30000, 30796, 91, 0, 3414
1760716377, meta, 100000, 105903, 12, 0, 9416
1760716389, meta, 100000, 105903, 9, 0, 2123
1760716559, meta, 10, 28, 2, 0, 338
1760716561, meta, 10, 28, 2, 0, 389
1760716561, meta, 100, 27, 2, 0, 346
1760716564, meta, 100, 27, 2, 0, 355
1760716564, meta, 1000, 889, 3, 0, 376
1760716566, meta, 1000, 889, 3, 0, 300
1760716567, meta, 3000, 2714, 3, 0, 457
1760716569, meta, 3000, 2714, 3, 0, 458
1760716570, meta, 10000, 9975, 11, 0, 992
1760716573, meta, 10000, 9975, 11, 0, 556
1760716573, meta, 30000, 30796, 10, 0, 2280
1760716577, meta, 30000, 30796, 11, 0, 2223
1760716580, meta, 100000, 105902, 434, 0, 15673
1760716597, meta, 100000, 105902, 323, 0, 14154
1760716778, meta, 10, 28, 2, 0, 422
1760716780, meta, 10, 28, 2, 0, 318
1760716781, meta, 100, 28, 2, 0, 367
1760716783, meta, 100, 28, 2, 0, 356
1760716783, meta, 1000, 889, 3, 0, 346
1760716786, meta, 1000, 889, 3, 0, 316
1760716786, meta, 3000, 2714, 3, 0, 452
1760716788, meta, 3000, 2714, 2, 0, 445
1760716789, meta, 10000, 9975, 11, 0, 1017
1760716792, meta, 10000, 9975, 3, 0, 931
1760716793, meta, 30000, 30796, 13, 0, 2345
1760716797, meta, 30000, 30796, 11, 0, 2293
1760716800, meta, 100000, 105902, 13, 0, 9129
1760716811, meta, 100000, 105902, 9, 0, 2261
1760717004, meta, 10, 28, 2, 0, 339
1760717006, meta, 10, 28, 2, 0, 366
1760717006, meta, 100, 28, 2, 0, 350
1760717009, meta, 100, 28, 2, 0, 400
1760717009, meta, 1000, 889, 3, 0, 428
1760717012, meta, 1000, 889, 3, 0, 357
1760717012, meta, 3000, 2714, 3, 0, 477
1760717014, meta, 3000, 2714, 3, 0, 434
1760717015, meta, 10000, 9975, 12, 0, 1003
1760717018, meta, 10000, 9975, 11, 0, 963
1760717019, meta, 30000, 30797, 11, 0, 2222
1760717023, meta, 30000, 30797, 7, 0, 904
1760717024, meta, 100000, 105903, 22, 0, 9466
1760717035, meta, 100000, 105903, 299, 0, 14027
1760717211, meta, 10, 28, 2, 0, 355
1760717213, meta, 10, 28, 2, 0, 369
1760717214, meta, 100, 28, 2, 0, 283
1760717216, meta, 100, 28, 2, 0, 349
1760717216, meta, 1000, 889, 3, 0, 387
1760717219, meta, 1000, 889, 3, 0, 376
1760717219, meta, 3000, 2714, 3, 0, 448
1760717222, meta, 3000, 2714, 3, 0, 413
1760717222, meta, 10000, 9975, 11, 0, 958
1760717225, meta, 10000, 9975, 12, 0, 891
1760717226, meta, 30000, 30796, 11, 0, 2273
1760717230, meta, 30000, 30796, 12, 0, 2239
1760717232, meta, 100000, 105903, 10, 0, 9181
1760717244, meta, 100000, 105903, 249, 0, 13148
1760717461, meta, 10, 28, 2, 0, 348
1760717463, meta, 10, 28, 2, 0, 351
1760717464, meta, 100, 28, 2, 0, 265
1760717466, meta, 100, 28, 2, 0, 331
1760717466, meta, 1000, 889, 3, 0, 285
1760717469, meta, 1000, 889, 3, 0, 279
1760717469, meta, 3000, 2714, 3, 0, 467
1760717471, meta, 3000, 2714, 3, 0, 419
1760717472, meta, 10000, 9975, 11, 0, 999
