created_at, provider, input_len, billed_prompt_len, billed_output_len, cached_tokens, duration (ms)
1760718909, harvard_openai, 10, 25, 1, 0, 795
1760718912, harvard_openai, 10, 25, 1, 0, 607
1760718913, harvard_openai, 100, 25, 1, 0, 630
1760718915, harvard_openai, 100, 25, 1, 0, 864
1760719031, harvard_openai, 10, 25, 1, 0, 579
1760719034, harvard_openai, 10, 25, 2, 0, 560
1760719034, harvard_openai, 100, 25, 1, 0, 977
1760719037, harvard_openai, 100, 25, 1, 0, 2851
1760719153, harvard_openai, 10, 25, 1, 0, 557
1760719156, harvard_openai, 10, 25, 1, 0, 741
1760719156, harvard_openai, 100, 25, 1, 0, 645
1760719159, harvard_openai, 100, 25, 1, 0, 553
1760719275, harvard_openai, 10, 25, 1, 0, 647
1760719277, harvard_openai, 10, 25, 1, 0, 516
1760719278, harvard_openai, 100, 25, 1, 0, 604
1760719280, harvard_openai, 100, 25, 1, 0, 633
1760719392, harvard_openai, 10, 25, 1, 0, 563
1760719394, harvard_openai, 10, 25, 1, 0, 566
1760719395, harvard_openai, 100, 25, 1, 0, 677
1760719397, harvard_openai, 100, 25, 1, 0, 443
1760719511, harvard_openai, 10, 25, 1, 0, 821
1760719514, harvard_openai, 10, 25, 1, 0, 615
1760719515, harvard_openai, 100, 25, 1, 0, 347
1760719517, harvard_openai, 100, 25, 1, 0, 714
1760719632, harvard_openai, 10, 25, 1, 0, 606
1760719635, harvard_openai, 10, 25, 1, 0, 1033
1760719636, harvard_openai, 100, 25, 1, 0, 751
1760719639, harvard_openai, 100, 25, 1, 0, 603
1760719756, harvard_openai, 10, 25, 1, 0, 1396
1760719759, harvard_openai, 10, 25, 1, 0, 551
1760719760, harvard_openai, 100, 25, 1, 0, 846
1760719763, harvard_openai, 100, 25, 1, 0, 3530
1760719881, harvard_openai, 10, 25, 1, 0, 508
1760719884, harvard_openai, 10, 25, 1, 0, 1240
1760719885, harvard_openai, 100, 25, 1, 0, 507
1760719887, harvard_openai, 100, 25, 1, 0, 549
1760720007, harvard_openai, 10, 25, 1, 0, 669
1760720009, harvard_openai, 10, 25, 1, 0, 704
1760720010, harvard_openai, 100, 25, 1, 0, 494
1760720013, harvard_openai, 100, 25, 1, 0, 651
1760720126, harvard_openai, 10, 25, 1, 0, 1052
1760720129, harvard_openai, 10, 25, 2, 0, 590
1760720130, harvard_openai, 100, 25, 1, 0, 387
1760720132, harvard_openai, 100, 25, 1, 0, 1130
1760720247, harvard_openai, 10, 25, 1, 0, 513
1760720250, harvard_openai, 10, 25, 1, 0, 686
1760720250, harvard_openai, 100, 25, 1, 0, 424
1760720253, harvard_openai, 100, 25, 1, 0, 604
1760720370, harvard_openai, 10, 25, 1, 0, 503
1760720373, harvard_openai, 10, 25, 1, 0, 403
1760720373, harvard_openai, 100, 25, 1, 0, 443
1760720376, harvard_openai, 100, 25, 1, 0, 1504
1760720489, harvard_openai, 10, 25, 1, 0, 1591
1760720492, harvard_openai, 10, 25, 1, 0, 568
1760720493, harvard_openai, 100, 25, 1, 0, 572
1760720495, harvard_openai, 100, 25, 1, 0, 341
1760720611, harvard_openai, 10, 25, 1, 0, 511
1760720613, harvard_openai, 10, 25, 1, 0, 566
1760720614, harvard_openai, 100, 25, 1, 0, 611
1760720616, harvard_openai, 100, 25, 1, 0, 589
1760720731, harvard_openai, 10, 25, 1, 0, 488
1760720733, harvard_openai, 10, 25, 1, 0, 624
1760720734, harvard_openai, 100, 25, 1, 0, 584
1760720737, harvard_openai, 100, 25, 1, 0, 2914
1760720855, harvard_openai, 10, 25, 1, 0, 690
1760720858, harvard_openai, 10, 25, 1, 0, 562
1760720858, harvard_openai, 100, 25, 1, 0, 602
1760720861, harvard_openai, 100, 25, 1, 0, 664
